Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACEHURT1,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.0858776715764501,0.072343155353872,0.0994121877990281
ACEHURT1,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1420210113026371,0.1330414458496492,0.151000576755625
ACEHURT1,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.082371346202578,0.0823132188273702,0.0824294735777858
ACEHURT1,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1403900168511204,0.1403523114774323,0.1404277222248084
ACESWEAR,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.0602377828052569,0.0458664622041468,0.0746091034063671
ACESWEAR,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1702835243914911,0.1627550688340494,0.1778119799489327
ACESWEAR,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.0544810195009439,0.0544193789623211,0.0545426600395666
ACESWEAR,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1690561967900366,0.1690246915320624,0.1690877020480107
ACETOUCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1550402385869999,0.1369980713260422,0.1730824058479576
ACETOUCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2331835800322521,0.2193775755463198,0.2469895845181844
ACETOUCH,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1405127294247283,0.1404339873369895,0.1405914715124671
ACETOUCH,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.220032374114885,0.219973416498412,0.220091331731358
ACETTHEM,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1603928853918726,0.1400845140430653,0.18070125674068
ACETTHEM,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2449405496461489,0.2288944132983596,0.2609866859939382
ACETTHEM,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1634007532397485,0.1633114681564585,0.1634900383230384
ACETTHEM,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.2321416661658274,0.2320725560318436,0.2322107762998112
ACEHVSEX,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1566424113137828,0.1292096044672395,0.1840752181603261
ACEHVSEX,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2599449702893763,0.2401100839221862,0.2797798566565664
ACEHVSEX,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1784688219267569,0.1783461226506823,0.1785915212028315
ACEHVSEX,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.2527056163251817,0.2526177301711149,0.2527935024792486
ACEDEPRS,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,4.206320668009122,4.008253635721057,4.404387700297186
ACEDEPRS,MENTHLTH,BaseRLearner (XGBoost),No,Yes,4.115065598491726,4.114222689064738,4.115908507918713
ACEDRINK,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,2.259003988940119,2.0893311655371054,2.4286768123431326
ACEDRINK,MENTHLTH,BaseRLearner (XGBoost),No,Yes,2.244543927955052,2.2438276809398627,2.245260174970241
ACEDRUGS,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,3.1625898484964807,2.8986945509640307,3.4264851460289307
ACEDRUGS,MENTHLTH,BaseRLearner (XGBoost),No,Yes,3.135252083521577,3.13412261434892,3.1363815526942345
ACEPRISN,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,2.8239837611061804,2.5176961812890744,3.1302713409232865
ACEPRISN,MENTHLTH,BaseRLearner (XGBoost),No,Yes,2.68026685405416,2.678950032605261,2.681583675503058
ACEDIVRC,MENTHLTH,LRS Regressor,No,Yes,1.6415578352628717,1.468508412180256,1.8146072583454875
ACEDIVRC,MENTHLTH,LRS Regressor,No,Parents not married,2.7670928433574784,2.0241593301482896,3.510026356566667
ACEDIVRC,MENTHLTH,Neural Network (MLP),No,Yes,1.0397069571965902,0.8731602756243201,1.2062536387688605
ACEDIVRC,MENTHLTH,Neural Network (MLP),No,Parents not married,1.4303380020339804,0.716840722430907,2.143835281637054
ACEDIVRC,MENTHLTH,BaseXRegressor (XGBoost),No,Yes,1.3163854614811026,1.1529211407335138,1.4798497822286911
ACEDIVRC,MENTHLTH,BaseXRegressor (XGBoost),No,Parents not married,1.8237536316306904,1.2283423716572943,2.419164891604086
ACEDIVRC,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,1.3111189744088978,1.1473226526627145,1.474915296155081
ACEDIVRC,MENTHLTH,BaseDRLearner (XGBoost),No,Parents not married,2.336238240260969,1.675087998413176,2.997388482108762
ACEDIVRC,MENTHLTH,BaseRLearner (XGBoost),No,Yes,1.2948196578757378,1.2941308842535455,1.29550843149793
ACEDIVRC,MENTHLTH,BaseRLearner (XGBoost),No,Parents not married,1.822889774129168,1.8198577834266048,1.8259217648317296
ACEPUNCH,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,1.6262747015547647,1.2765180293862546,1.9760313737232749
ACEPUNCH,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,2.7613356251194383,2.525360697332718,2.9973105529061588
ACEPUNCH,MENTHLTH,BaseRLearner (XGBoost),Never,Once,1.5096166764874728,1.5080464712185075,1.511186881756438
ACEPUNCH,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,2.788958596313273,2.787946033696672,2.789971158929874
